"export-world data (NetLogo 5.2.0)"
"PushPullRotate_20150410.nlogo"
"04/10/2015 14:25:10:497 +0300"

"RANDOM STATE"
"0 0 -1727483681 274 0.0 false 1825442006 -596184718 -751347460 -931191180 -560593810 -1022040954 1026848203 -1009479105 -280489552 1102764624 1723569436 2031214254 2029387452 1711783213 1807148195 127860260 238270219 497699631 -287299606 1091590769 -189204188 -1414929166 24285980 -1480291466 1253621894 461555991 -326129347 1102248987 1307059313 275598683 -1263971032 1380136148 -802047548 -1710157707 851335946 -1541938543 -2026853280 -863328127 -888919269 721854496 -749883330 -1967765885 1884588120 1427955932 650154247 -427064426 521248540 196226970 -1751425640 748931946 1037836355 245487393 1465097141 1317776401 -2066798790 -1152151145 -193606886 1361488198 -1373219014 912753653 2083838939 -615324973 -1707380551 -553405239 2078527220 566455031 -1905248990 313136323 -1606807217 1610316358 -1230422627 -1347233106 -646328492 -441057365 907277997 -507552952 1624732701 612647306 -1550176793 723534431 -785788234 -1211755190 -16393668 2001148432 1107442183 1118420372 -1123500843 1520850288 -42215672 -432782689 358256245 -892551551 -449122681 -1348540295 -2078662192 -794165305 1559508548 2090961211 -85528781 1982720259 -1060054670 -72490982 -249444841 -1513396050 -1266205020 446620387 -374540338 -1445837628 1668533029 -1862255779 2094285027 1401258925 1843743097 703024103 -1914602385 761087752 -1595766226 1766648737 1078456467 -310344643 100730832 -1800430966 641972698 -1141597256 -1637156029 857411061 1690399288 1598155858 -1283922879 -1580326950 951128707 -2064432791 624723812 142287078 1295010445 -94926761 -682603166 660992871 -1245677700 -457891410 -2038175574 -1161298128 614430268 1112541223 -1985045943 -112309307 -1028707676 254928706 -2055391447 -1969230946 453327337 1181690193 2055781074 -1524792090 1353062475 430096518 624067014 -2143974712 1187821839 -2004079919 -1852501859 -856911948 -917792825 669360343 -337202828 1264581479 -1537994785 -328819247 1960034756 -1990582983 -934839543 1116200237 -1012163147 682144294 -1361789429 -334278732 2106691060 977495017 854105656 772244805 1750825755 931753766 1351538161 854581400 -1868885019 1554464731 1407993873 -1197105917 377712452 788662206 -648098430 1859590048 1851237099 -1897828978 -1639682253 -1907995517 -880479093 -1136629851 694461338 -1447986223 1815635581 1002185110 -1242133345 1187865712 828619640 1695351764 1212812380 1551679339 19459505 -1663044696 -1812374881 1152938550 -98788241 -1041873244 848698525 -256102970 141275875 -1547408322 -1908221317 1004207086 -727906275 1231400806 96340180 -180936738 1158079642 -136273385 -594224584 -1595335310 1393113168 2141795978 569463682 1697180932 1057645627 1807631846 116266142 158238872 1740826371 772294781 518462072 1572291058 -2041228102 -877154550 -1956283293 -35072192 601167826 1286825843 545622816 341098930 -31176837 -1404462681 -1508340424 1126945964 -615385041 982039835 -1899122521 -2037669055 220809926 1884538286 -14963211 1796097175 -653984298 -1754122913 -896490676 -1392420080 -377154778 -400039888 1118563576 -714502107 2113547338 1998207139 532496556 241385763 392576532 1203541053 -1909731993 1742713534 -607984877 336822738 794583978 -1623113267 2076114437 1649077285 -2009439256 330789243 -56410755 -892395667 1435067132 78544841 1007615486 1079485018 113070418 -688100008 -1850981091 708654928 -1848547716 -639003458 -1281839356 -1389997796 604045880 230854679 2007876189 -1844085801 -893583698 -408400916 642410053 -1066813260 -1717714918 882432766 -272696266 96062569 956151272 -605109326 748821344 813033736 -1640716868 1638044833 942790204 1586305103 1806090176 -421932706 -722470494 -1236800690 756982718 -1978014819 -651950671 1122806859 660490120 -437992764 -1978637452 -1848142511 1352258637 145043867 -736154031 1344347047 -764409549 1615243505 -1327890701 1453903897 647871960 2085438636 1084566167 194434504 -1914412948 2114933403 1433197038 -1438411448 1023325509 352952136 631644015 -623115903 1685860766 -235393777 1363564388 168744249 1583286964 -352786555 -1191693777 -1313434385 -1898537123 1738639315 1767126748 574574544 1875808980 1577972561 -1070800010 -178361449 -880767006 -1414393935 582889786 -341430872 -1451849032 1170236365 -27212244 -2062658519 -1925041370 -246929150 1511731293 1454952514 1943365127 -1039236515 483422772 -1660618453 -1121424325 85237934 580168023 1808007586 -1698403203 -1189018375 -1469323806 -472734342 1982804991 778905094 -58024497 -645319204 -250245374 1738400678 953427712 -2115463791 1536262601 722465412 450695417 -2070234860 422894244 1605961616 -348662401 -884491453 2096649955 1783087485 2018453336 -296542153 -1665726915 1744020961 -195096481 -1462249267 -401889115 665943835 -1620159912 1195325664 432962444 706805210 640480638 -554116197 -948329548 -185048504 -760578868 81324589 791681005 125025137 694154576 -1062423472 219771153 1489214117 322381681 1718754993 -2037748448 836898639 1523740998 720771684 1381258816 -1026888324 752395362 320408974 -475571717 646303579 -914914103 -846053066 -1639288182 728553244 1926451388 -436659466 -571310268 -1601581675 723261207 -1085138325 1084111674 -244988878 1140357266 964651546 -1694949093 1175685021 496683133 1422597610 -790220811 -533795694 1121445263 2037231449 -1403705384 882822035 1686004206 -1705242342 149356910 -347490456 -677921124 1814921678 -350402037 -1747864219 -926883944 -1676757446 -333054772 -255671187 -344027860 997531200 -1479721140 -1959168345 35375287 2090952585 1691350923 -376797302 1219962250 -634566023 823758228 -25630302 -641972094 1736485318 -1434487536 645634913 -2082559494 -400820358 1381211204 -122886645 1656433374 704874665 792004455 -1235459970 658654670 891190782 1111221036 1462461526 1127784630 1948972355 99969403 597852670 -245407295 -438394410 237710129 -838958802 -433310620 -1036098905 249056246 1795199407 -1268492668 341741234 -1676686593 1184764645 1019969444 -1651770382 1270537588 951589504 1409915208 -679118380 694671084 -604900790 -1625642756 -2088354323 1316804795 -2098814402 1294674295 2031676877 -314259867 -387047153 390155208 -1118334714 1665315392 1934055879 -760502017 -952327463 -1499728400 -1899454513 -1875401067 1038017397 -1268243639 -1880792040 1921742273 -911219244 -1368653987 490400342 1622601353 1969124417 1271854614 -2032820344 -1135074919 -145136572 -2014356217 -1908829059 -1914417782 -1708856438 1050437066 -1714005258 435687140 2099122416 1932897769 1965447174 513604142 -2127306216 -1529636701 -291299429 2146835927 1980021794 -1689108316 352936154 -1692706430 1182646751 -411713810 -811682058 11724935 899423946 230807875 -1010152412 623881221 -1902850651 1402845175 -339689202 -885968541 56608941 2004452713 789112065 -963796620 -1702949726 -1180284756 -2130561553 464666836 -1725158690 1288045107 -74267959 1654121220 -1583682117 441483053 2004670305 405623575 -1828859841 -1082669856 620519055 657101012 1407373886 -1645099329 -969813457 -722209387 -355502422 1794650233 520160369 -571476953 -1076491475 1328305655 246621035"

"GLOBALS"
"min-pxcor","max-pxcor","min-pycor","max-pycor","perspective","subject","nextIndex","directed-links","ticks","continuous_solving?","dragging?","mode","output?","profiling?","selected"
"-100","100","-100","100","0","nobody","5","""NEITHER""","0","true","false","""go""","false","false","{connector 4}"

"TURTLES"
"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","anchored?","c-hops"
"0","15","63","-8","-62.500000099999994","""circle""","0","0","{breed connectors}","false","8","1","""up""","true","1"
"1","95","28.583595976604443","-49.86506416927252","-40.613110700929454","""circle""","1","0","{breed connectors}","false","8","1","""up""","false","1"
"2","95","58.623390944700134","-24.765172515356884","5.454724487645405","""circle""","2","0","{breed connectors}","false","8","1","""up""","false","1"
"3","95","117.79171918816076","16.83006975265209","30.874172052179702","""circle""","3","0","{breed connectors}","false","8","1","""up""","false","1"
"4","95","334.9966938607397","46","15.499999900000006","""circle""","4","0","{breed connectors}","false","8","1","""up""","false","1"

"PATCHES"
"pxcor","pycor","pcolor","plabel","plabel-color"
"-73","16","9.9","""""","9.9"
"-72","16","9.9","""""","9.9"
"-71","16","9.9","""""","9.9"
"-70","16","9.9","""""","9.9"
"-69","16","9.9","""""","9.9"
"-68","16","9.9","""""","9.9"
"-67","16","9.9","""""","9.9"
"-66","16","9.9","""""","9.9"
"-65","16","9.9","""""","9.9"
"-64","16","9.9","""""","9.9"
"-63","16","9.9","""""","9.9"
"-62","16","9.9","""""","9.9"
"-61","16","9.9","""""","9.9"
"-60","16","9.9","""""","9.9"
"-59","16","9.9","""""","9.9"
"-58","16","9.9","""""","9.9"
"-57","16","9.9","""""","9.9"
"-56","16","9.9","""""","9.9"
"-55","16","9.9","""""","9.9"
"-54","16","9.9","""""","9.9"
"-53","16","9.9","""""","9.9"
"-52","16","9.9","""""","9.9"
"-51","16","9.9","""""","9.9"
"-50","16","9.9","""""","9.9"
"-49","16","9.9","""""","9.9"
"-48","16","9.9","""""","9.9"
"-47","16","9.9","""""","9.9"
"-46","16","9.9","""""","9.9"
"-45","16","9.9","""""","9.9"
"-44","16","9.9","""""","9.9"
"-43","16","9.9","""""","9.9"
"-42","16","9.9","""""","9.9"
"-41","16","9.9","""""","9.9"
"-40","16","9.9","""""","9.9"
"-39","16","9.9","""""","9.9"
"-38","16","9.9","""""","9.9"
"-37","16","9.9","""""","9.9"
"-36","16","9.9","""""","9.9"
"-35","16","9.9","""""","9.9"
"-34","16","9.9","""""","9.9"
"-33","16","9.9","""""","9.9"
"-32","16","9.9","""""","9.9"
"-31","16","9.9","""""","9.9"
"-30","16","9.9","""""","9.9"
"-29","16","9.9","""""","9.9"
"-28","16","9.9","""""","9.9"
"-27","16","9.9","""""","9.9"
"-26","16","9.9","""""","9.9"
"-25","16","9.9","""""","9.9"
"-24","16","9.9","""""","9.9"
"-23","16","9.9","""""","9.9"
"-22","16","9.9","""""","9.9"
"-21","16","9.9","""""","9.9"
"-20","16","9.9","""""","9.9"
"-19","16","9.9","""""","9.9"
"-18","16","9.9","""""","9.9"
"-17","16","9.9","""""","9.9"
"-16","16","9.9","""""","9.9"
"-15","16","9.9","""""","9.9"
"-14","16","9.9","""""","9.9"
"-13","16","9.9","""""","9.9"
"-12","16","9.9","""""","9.9"
"-11","16","9.9","""""","9.9"
"-10","16","9.9","""""","9.9"
"-9","16","9.9","""""","9.9"
"-8","16","9.9","""""","9.9"
"-7","16","9.9","""""","9.9"
"-6","16","9.9","""""","9.9"
"-5","16","9.9","""""","9.9"
"-4","16","9.9","""""","9.9"
"-3","16","9.9","""""","9.9"
"-2","16","9.9","""""","9.9"
"-1","16","9.9","""""","9.9"
"0","16","9.9","""""","9.9"
"1","16","9.9","""""","9.9"
"2","16","9.9","""""","9.9"
"3","16","9.9","""""","9.9"
"4","16","9.9","""""","9.9"
"5","16","9.9","""""","9.9"
"6","16","9.9","""""","9.9"
"7","16","9.9","""""","9.9"
"8","16","9.9","""""","9.9"
"9","16","9.9","""""","9.9"
"10","16","9.9","""""","9.9"
"11","16","9.9","""""","9.9"
"12","16","9.9","""""","9.9"
"13","16","9.9","""""","9.9"
"14","16","9.9","""""","9.9"
"15","16","9.9","""""","9.9"
"16","16","9.9","""""","9.9"
"17","16","9.9","""""","9.9"
"18","16","9.9","""""","9.9"
"19","16","9.9","""""","9.9"
"20","16","9.9","""""","9.9"
"21","16","9.9","""""","9.9"
"22","16","9.9","""""","9.9"
"23","16","9.9","""""","9.9"
"24","16","9.9","""""","9.9"
"25","16","9.9","""""","9.9"
"26","16","9.9","""""","9.9"
"27","16","9.9","""""","9.9"
"28","16","9.9","""""","9.9"
"29","16","9.9","""""","9.9"
"30","16","9.9","""""","9.9"
"31","16","9.9","""""","9.9"
"32","16","9.9","""""","9.9"
"33","16","9.9","""""","9.9"
"34","16","9.9","""""","9.9"
"35","16","9.9","""""","9.9"
"36","16","9.9","""""","9.9"
"37","16","9.9","""""","9.9"
"38","16","9.9","""""","9.9"
"39","16","9.9","""""","9.9"
"40","16","9.9","""""","9.9"
"41","16","9.9","""""","9.9"
"42","16","9.9","""""","9.9"
"43","16","9.9","""""","9.9"
"44","16","9.9","""""","9.9"
"45","16","9.9","""""","9.9"
"46","16","9.9","""""","9.9"
"47","16","9.9","""""","9.9"
"48","16","9.9","""""","9.9"
"49","16","9.9","""""","9.9"
"50","16","9.9","""""","9.9"
"51","16","9.9","""""","9.9"
"52","16","9.9","""""","9.9"
"53","16","9.9","""""","9.9"
"54","16","9.9","""""","9.9"
"55","16","9.9","""""","9.9"
"56","16","9.9","""""","9.9"
"57","16","9.9","""""","9.9"
"58","16","9.9","""""","9.9"
"59","16","9.9","""""","9.9"
"60","16","9.9","""""","9.9"
"61","16","9.9","""""","9.9"
"62","16","9.9","""""","9.9"
"63","16","9.9","""""","9.9"
"64","16","9.9","""""","9.9"
"65","16","9.9","""""","9.9"
"66","16","9.9","""""","9.9"
"67","16","9.9","""""","9.9"
"68","16","9.9","""""","9.9"
"69","16","9.9","""""","9.9"
"70","16","9.9","""""","9.9"
"71","16","9.9","""""","9.9"
"72","16","9.9","""""","9.9"
"73","16","9.9","""""","9.9"
"74","16","9.9","""""","9.9"
"75","16","9.9","""""","9.9"
"76","16","9.9","""""","9.9"
"77","16","9.9","""""","9.9"
"78","16","9.9","""""","9.9"
"79","16","9.9","""""","9.9"
"80","16","9.9","""""","9.9"
"81","16","9.9","""""","9.9"
"82","16","9.9","""""","9.9"
"83","16","9.9","""""","9.9"
"84","16","9.9","""""","9.9"
"85","16","9.9","""""","9.9"
"86","16","9.9","""""","9.9"
"87","16","9.9","""""","9.9"
"88","16","9.9","""""","9.9"
"89","16","9.9","""""","9.9"
"90","16","9.9","""""","9.9"
"91","16","9.9","""""","9.9"
"92","16","9.9","""""","9.9"
"93","16","9.9","""""","9.9"
"94","16","9.9","""""","9.9"
"95","16","9.9","""""","9.9"
"96","16","9.9","""""","9.9"
"97","16","9.9","""""","9.9"
"98","16","9.9","""""","9.9"
"99","16","9.9","""""","9.9"
"100","16","9.9","""""","9.9"
"-100","15","9.9","""""","9.9"
"-99","15","9.9","""""","9.9"
"-98","15","9.9","""""","9.9"
"-97","15","9.9","""""","9.9"
"-96","15","9.9","""""","9.9"
"-95","15","9.9","""""","9.9"
"-94","15","9.9","""""","9.9"
"-93","15","9.9","""""","9.9"
"-92","15","9.9","""""","9.9"
"-91","15","9.9","""""","9.9"
"-90","15","9.9","""""","9.9"
"-89","15","9.9","""""","9.9"
"-88","15","9.9","""""","9.9"
"-87","15","9.9","""""","9.9"
"-86","15","9.9","""""","9.9"
"-85","15","9.9","""""","9.9"
"-84","15","9.9","""""","9.9"
"-83","15","9.9","""""","9.9"
"-82","15","9.9","""""","9.9"
"-81","15","9.9","""""","9.9"
"-80","15","9.9","""""","9.9"
"-79","15","9.9","""""","9.9"
"-78","15","9.9","""""","9.9"
"-77","15","9.9","""""","9.9"
"-76","15","9.9","""""","9.9"
"-75","15","9.9","""""","9.9"
"-74","15","9.9","""""","9.9"
"-73","15","9.9","""""","9.9"
"-72","15","9.9","""""","9.9"
"-71","15","9.9","""""","9.9"
"-70","15","9.9","""""","9.9"
"-69","15","9.9","""""","9.9"
"-68","15","9.9","""""","9.9"
"-67","15","9.9","""""","9.9"
"-66","15","9.9","""""","9.9"
"-65","15","9.9","""""","9.9"
"-64","15","9.9","""""","9.9"
"-63","15","9.9","""""","9.9"
"-62","15","9.9","""""","9.9"
"-61","15","9.9","""""","9.9"
"-60","15","9.9","""""","9.9"
"-59","15","9.9","""""","9.9"
"-58","15","9.9","""""","9.9"
"-57","15","9.9","""""","9.9"
"-56","15","9.9","""""","9.9"
"-55","15","9.9","""""","9.9"
"-54","15","9.9","""""","9.9"
"-53","15","9.9","""""","9.9"
"-52","15","9.9","""""","9.9"
"-51","15","9.9","""""","9.9"
"-50","15","9.9","""""","9.9"
"-49","15","9.9","""""","9.9"
"-48","15","9.9","""""","9.9"
"-47","15","9.9","""""","9.9"
"-46","15","9.9","""""","9.9"
"-45","15","9.9","""""","9.9"
"-44","15","9.9","""""","9.9"
"-43","15","9.9","""""","9.9"
"-42","15","9.9","""""","9.9"
"-41","15","9.9","""""","9.9"
"-40","15","9.9","""""","9.9"
"-39","15","9.9","""""","9.9"
"-38","15","9.9","""""","9.9"
"-37","15","9.9","""""","9.9"
"-36","15","9.9","""""","9.9"
"-35","15","9.9","""""","9.9"
"-34","15","9.9","""""","9.9"
"-33","15","9.9","""""","9.9"
"-32","15","9.9","""""","9.9"
"-31","15","9.9","""""","9.9"
"-30","15","9.9","""""","9.9"
"-29","15","9.9","""""","9.9"
"-28","15","9.9","""""","9.9"
"-27","15","9.9","""""","9.9"
"-26","15","9.9","""""","9.9"
"-25","15","9.9","""""","9.9"
"-24","15","9.9","""""","9.9"
"-23","15","9.9","""""","9.9"
"-22","15","9.9","""""","9.9"
"-21","15","9.9","""""","9.9"
"-20","15","9.9","""""","9.9"
"-19","15","9.9","""""","9.9"
"-18","15","9.9","""""","9.9"
"-17","15","9.9","""""","9.9"
"-16","15","9.9","""""","9.9"
"-15","15","9.9","""""","9.9"
"-14","15","9.9","""""","9.9"
"-13","15","9.9","""""","9.9"
"-12","15","9.9","""""","9.9"
"-11","15","9.9","""""","9.9"
"-10","15","9.9","""""","9.9"
"-9","15","9.9","""""","9.9"
"-8","15","9.9","""""","9.9"
"-7","15","9.9","""""","9.9"
"-6","15","9.9","""""","9.9"
"-5","15","9.9","""""","9.9"
"-4","15","9.9","""""","9.9"
"-3","15","9.9","""""","9.9"
"-2","15","9.9","""""","9.9"
"-1","15","9.9","""""","9.9"
"0","15","9.9","""""","9.9"
"1","15","9.9","""""","9.9"
"2","15","9.9","""""","9.9"
"3","15","9.9","""""","9.9"
"4","15","9.9","""""","9.9"
"5","15","9.9","""""","9.9"
"6","15","9.9","""""","9.9"
"7","15","9.9","""""","9.9"
"8","15","9.9","""""","9.9"
"9","15","9.9","""""","9.9"
"10","15","9.9","""""","9.9"
"11","15","9.9","""""","9.9"
"12","15","9.9","""""","9.9"
"13","15","9.9","""""","9.9"
"14","15","9.9","""""","9.9"
"15","15","9.9","""""","9.9"
"16","15","9.9","""""","9.9"
"17","15","9.9","""""","9.9"
"18","15","9.9","""""","9.9"
"19","15","9.9","""""","9.9"
"20","15","9.9","""""","9.9"
"21","15","9.9","""""","9.9"
"22","15","9.9","""""","9.9"
"23","15","9.9","""""","9.9"
"24","15","9.9","""""","9.9"
"25","15","9.9","""""","9.9"
"26","15","9.9","""""","9.9"
"27","15","9.9","""""","9.9"
"28","15","9.9","""""","9.9"
"29","15","9.9","""""","9.9"
"30","15","9.9","""""","9.9"
"31","15","9.9","""""","9.9"
"32","15","9.9","""""","9.9"
"33","15","9.9","""""","9.9"
"34","15","9.9","""""","9.9"
"35","15","9.9","""""","9.9"
"36","15","9.9","""""","9.9"
"37","15","9.9","""""","9.9"
"38","15","9.9","""""","9.9"
"39","15","9.9","""""","9.9"
"40","15","9.9","""""","9.9"
"41","15","9.9","""""","9.9"
"42","15","9.9","""""","9.9"
"43","15","9.9","""""","9.9"
"44","15","9.9","""""","9.9"
"45","15","9.9","""""","9.9"
"46","15","9.9","""""","9.9"
"47","15","9.9","""""","9.9"
"48","15","9.9","""""","9.9"
"49","15","9.9","""""","9.9"
"50","15","9.9","""""","9.9"
"51","15","9.9","""""","9.9"
"52","15","9.9","""""","9.9"
"53","15","9.9","""""","9.9"
"54","15","9.9","""""","9.9"
"55","15","9.9","""""","9.9"
"56","15","9.9","""""","9.9"
"57","15","9.9","""""","9.9"
"58","15","9.9","""""","9.9"
"59","15","9.9","""""","9.9"
"60","15","9.9","""""","9.9"
"61","15","9.9","""""","9.9"
"62","15","9.9","""""","9.9"
"63","15","9.9","""""","9.9"
"64","15","9.9","""""","9.9"
"65","15","9.9","""""","9.9"
"66","15","9.9","""""","9.9"
"67","15","9.9","""""","9.9"
"68","15","9.9","""""","9.9"
"69","15","9.9","""""","9.9"
"70","15","9.9","""""","9.9"
"71","15","9.9","""""","9.9"
"72","15","9.9","""""","9.9"
"73","15","9.9","""""","9.9"
"74","15","9.9","""""","9.9"
"75","15","9.9","""""","9.9"
"76","15","9.9","""""","9.9"
"77","15","9.9","""""","9.9"
"78","15","9.9","""""","9.9"
"79","15","9.9","""""","9.9"
"80","15","9.9","""""","9.9"
"81","15","9.9","""""","9.9"
"82","15","9.9","""""","9.9"
"83","15","9.9","""""","9.9"
"84","15","9.9","""""","9.9"
"85","15","9.9","""""","9.9"
"86","15","9.9","""""","9.9"
"87","15","9.9","""""","9.9"
"88","15","9.9","""""","9.9"
"89","15","9.9","""""","9.9"
"90","15","9.9","""""","9.9"
"91","15","9.9","""""","9.9"
"92","15","9.9","""""","9.9"
"93","15","9.9","""""","9.9"
"94","15","9.9","""""","9.9"
"95","15","9.9","""""","9.9"
"96","15","9.9","""""","9.9"
"97","15","9.9","""""","9.9"
"98","15","9.9","""""","9.9"
"99","15","9.9","""""","9.9"
"100","15","9.9","""""","9.9"
"-100","14","9.9","""""","9.9"
"-99","14","9.9","""""","9.9"
"-98","14","9.9","""""","9.9"
"-97","14","9.9","""""","9.9"
"-96","14","9.9","""""","9.9"
"-95","14","9.9","""""","9.9"
"-94","14","9.9","""""","9.9"
"-93","14","9.9","""""","9.9"
"-92","14","9.9","""""","9.9"
"-91","14","9.9","""""","9.9"
"-90","14","9.9","""""","9.9"
"-89","14","9.9","""""","9.9"
"-88","14","9.9","""""","9.9"
"-87","14","9.9","""""","9.9"
"-86","14","9.9","""""","9.9"
"-85","14","9.9","""""","9.9"
"-84","14","9.9","""""","9.9"
"-83","14","9.9","""""","9.9"
"-82","14","9.9","""""","9.9"
"-81","14","9.9","""""","9.9"
"-80","14","9.9","""""","9.9"
"-79","14","9.9","""""","9.9"
"-78","14","9.9","""""","9.9"
"-77","14","9.9","""""","9.9"
"-76","14","9.9","""""","9.9"
"-75","14","9.9","""""","9.9"
"-74","14","9.9","""""","9.9"
"-73","14","9.9","""""","9.9"
"-72","14","9.9","""""","9.9"
"-71","14","9.9","""""","9.9"
"-70","14","9.9","""""","9.9"
"-69","14","9.9","""""","9.9"
"-68","14","9.9","""""","9.9"
"-67","14","9.9","""""","9.9"
"-66","14","9.9","""""","9.9"
"-65","14","9.9","""""","9.9"
"-64","14","9.9","""""","9.9"
"-63","14","9.9","""""","9.9"
"-62","14","9.9","""""","9.9"
"-61","14","9.9","""""","9.9"
"-60","14","9.9","""""","9.9"
"-59","14","9.9","""""","9.9"
"-58","14","9.9","""""","9.9"
"-57","14","9.9","""""","9.9"
"-56","14","9.9","""""","9.9"
"-55","14","9.9","""""","9.9"
"-54","14","9.9","""""","9.9"
"-53","14","9.9","""""","9.9"
"-52","14","9.9","""""","9.9"
"-51","14","9.9","""""","9.9"
"-50","14","9.9","""""","9.9"
"-49","14","9.9","""""","9.9"
"-48","14","9.9","""""","9.9"
"-47","14","9.9","""""","9.9"
"-46","14","9.9","""""","9.9"
"-45","14","9.9","""""","9.9"
"-44","14","9.9","""""","9.9"
"-43","14","9.9","""""","9.9"
"-42","14","9.9","""""","9.9"
"-41","14","9.9","""""","9.9"
"-40","14","9.9","""""","9.9"
"-39","14","9.9","""""","9.9"
"-38","14","9.9","""""","9.9"
"-37","14","9.9","""""","9.9"
"-36","14","9.9","""""","9.9"
"-35","14","9.9","""""","9.9"
"-34","14","9.9","""""","9.9"
"-33","14","9.9","""""","9.9"
"-32","14","9.9","""""","9.9"
"-31","14","9.9","""""","9.9"
"-30","14","9.9","""""","9.9"
"-29","14","9.9","""""","9.9"
"-28","14","9.9","""""","9.9"
"-27","14","9.9","""""","9.9"
"-26","14","9.9","""""","9.9"
"-25","14","9.9","""""","9.9"
"-24","14","9.9","""""","9.9"
"-23","14","9.9","""""","9.9"
"-22","14","9.9","""""","9.9"
"-21","14","9.9","""""","9.9"
"-20","14","9.9","""""","9.9"
"-19","14","9.9","""""","9.9"
"-18","14","9.9","""""","9.9"
"-17","14","9.9","""""","9.9"
"-16","14","9.9","""""","9.9"
"-15","14","9.9","""""","9.9"
"-14","14","9.9","""""","9.9"
"-13","14","9.9","""""","9.9"
"-12","14","9.9","""""","9.9"
"-11","14","9.9","""""","9.9"
"-10","14","9.9","""""","9.9"
"-9","14","9.9","""""","9.9"
"-8","14","9.9","""""","9.9"
"-7","14","9.9","""""","9.9"
"-6","14","9.9","""""","9.9"
"-5","14","9.9","""""","9.9"
"-4","14","9.9","""""","9.9"
"-3","14","9.9","""""","9.9"
"-2","14","9.9","""""","9.9"
"-1","14","9.9","""""","9.9"
"0","14","9.9","""""","9.9"
"1","14","9.9","""""","9.9"
"2","14","9.9","""""","9.9"
"3","14","9.9","""""","9.9"
"4","14","9.9","""""","9.9"
"5","14","9.9","""""","9.9"
"6","14","9.9","""""","9.9"
"7","14","9.9","""""","9.9"
"8","14","9.9","""""","9.9"
"9","14","9.9","""""","9.9"
"10","14","9.9","""""","9.9"
"11","14","9.9","""""","9.9"
"12","14","9.9","""""","9.9"
"13","14","9.9","""""","9.9"
"14","14","9.9","""""","9.9"
"15","14","9.9","""""","9.9"
"16","14","9.9","""""","9.9"
"17","14","9.9","""""","9.9"
"18","14","9.9","""""","9.9"
"19","14","9.9","""""","9.9"
"20","14","9.9","""""","9.9"
"21","14","9.9","""""","9.9"
"22","14","9.9","""""","9.9"
"23","14","9.9","""""","9.9"
"24","14","9.9","""""","9.9"
"25","14","9.9","""""","9.9"
"26","14","9.9","""""","9.9"
"27","14","9.9","""""","9.9"
"28","14","9.9","""""","9.9"
"29","14","9.9","""""","9.9"
"30","14","9.9","""""","9.9"
"31","14","9.9","""""","9.9"
"32","14","9.9","""""","9.9"
"33","14","9.9","""""","9.9"
"34","14","9.9","""""","9.9"
"35","14","9.9","""""","9.9"
"36","14","9.9","""""","9.9"
"37","14","9.9","""""","9.9"
"38","14","9.9","""""","9.9"
"39","14","9.9","""""","9.9"
"40","14","9.9","""""","9.9"
"41","14","9.9","""""","9.9"
"42","14","9.9","""""","9.9"
"43","14","9.9","""""","9.9"
"44","14","9.9","""""","9.9"
"45","14","9.9","""""","9.9"
"46","14","9.9","""""","9.9"
"47","14","9.9","""""","9.9"
"48","14","9.9","""""","9.9"
"49","14","9.9","""""","9.9"
"50","14","9.9","""""","9.9"
"51","14","9.9","""""","9.9"
"52","14","9.9","""""","9.9"
"53","14","9.9","""""","9.9"
"54","14","9.9","""""","9.9"
"55","14","9.9","""""","9.9"
"56","14","9.9","""""","9.9"
"57","14","9.9","""""","9.9"
"58","14","9.9","""""","9.9"
"59","14","9.9","""""","9.9"
"60","14","9.9","""""","9.9"
"61","14","9.9","""""","9.9"
"62","14","9.9","""""","9.9"
"63","14","9.9","""""","9.9"
"64","14","9.9","""""","9.9"
"65","14","9.9","""""","9.9"
"66","14","9.9","""""","9.9"
"67","14","9.9","""""","9.9"
"68","14","9.9","""""","9.9"
"69","14","9.9","""""","9.9"
"70","14","9.9","""""","9.9"
"71","14","9.9","""""","9.9"
"72","14","9.9","""""","9.9"
"73","14","9.9","""""","9.9"
"74","14","9.9","""""","9.9"
"75","14","9.9","""""","9.9"
"76","14","9.9","""""","9.9"
"77","14","9.9","""""","9.9"
"78","14","9.9","""""","9.9"
"79","14","9.9","""""","9.9"
"80","14","9.9","""""","9.9"
"81","14","9.9","""""","9.9"
"82","14","9.9","""""","9.9"
"83","14","9.9","""""","9.9"
"84","14","9.9","""""","9.9"
"85","14","9.9","""""","9.9"
"86","14","9.9","""""","9.9"
"87","14","9.9","""""","9.9"
"88","14","9.9","""""","9.9"
"89","14","9.9","""""","9.9"
"90","14","9.9","""""","9.9"
"91","14","9.9","""""","9.9"
"92","14","9.9","""""","9.9"
"93","14","9.9","""""","9.9"
"94","14","9.9","""""","9.9"
"95","14","9.9","""""","9.9"
"96","14","9.9","""""","9.9"
"97","14","9.9","""""","9.9"
"98","14","9.9","""""","9.9"
"99","14","9.9","""""","9.9"
"100","14","9.9","""""","9.9"
"-100","13","9.9","""""","9.9"
"-99","13","9.9","""""","9.9"
"-98","13","9.9","""""","9.9"
"-97","13","9.9","""""","9.9"
"-96","13","9.9","""""","9.9"
"-95","13","9.9","""""","9.9"
"-94","13","9.9","""""","9.9"
"-93","13","9.9","""""","9.9"
"-92","13","9.9","""""","9.9"
"-91","13","9.9","""""","9.9"
